,content,time
0,幸而大雾四起，隐匿了我对你的爱,1609146203884
1,小鲸，别唤了，就算你再替我招来多少云雾，她也不会从雾里走出来。,1609145818175
2,很喜欢导航的一句话 您已偏离路线 请重新规划路线 在合适位置掉头,1609145734238
3,互相喜欢这个事有些不容易,1609145635762
4,“这次，我站在雾里，连自己都看不清，原来执着太久的东西，本来就没有意义”,1609145581974
5,疼,1609145574359
6,相信你们会在一起的，加油要幸福哦,1609145462086
7,那天起雾了 我在车窗上写了他的名字 后来雾散了 他也离开了,1609145446940
8,那天的雾散了 不止是雾,1609145088699
9,不是为了上王牌才和你打游戏……是为了和在你一起的时间多一点才玩的游戏……,1609145065666
10,我听到鲸鱼的叫声突然就（哼哼）,1609145035523
11,我的王者ID：雾起爱意平,1609144923135
12,希望她不负你,1609144229950
13,有没有觉得像生日快乐劳伦斯先生,1609143965589
14,也只有在四下无人之际、才敢承认自己对你的爱意。,1609143878988
15,女孩子就应该打扮的漂漂亮亮，和志同道合的人一起玩，为让自己高兴，而不是和那些阿猫阿狗抢垃圾吃.[叉],1609143815639
16,致敬每一份勇敢的爱意,1609143768276
17,时常觉得自己是个很奇怪的生物。有时候明明有很多很多委屈，可是为什么只要有人跟我讲道理，我就觉得什么都是自己的错？,1609143624253
18,“你连原因都没有说 就开始疏远我 次次都是”,1609143551279
19,有时候啊，我们站在田野中眺望，只觉得远方城市的霓虹灯绚烂夺目，诱人，使人向往，可每当接近才发现它其实好普通。,1609143545314
20,太喜欢鲸,1609143327188
21,大雾散了，但找不到你了,1609143320167
22,这个词共情力十足,1609143227785
23,有情人终成眷属.,1609143219121
24,想问问你们两个要那个了 怎么搞的,1609143133848
25,在雾中看花，雾因花而美丽，花因雾而朦胧。,1609141493411
26,"@养猪致富的可可 大雾四起 我在无人处爱你
大雾散尽 我爱你人尽皆知
云雾散尽 我爱你从未停息
云雾缥渺 世人皆知我爱你
大雾四起遮住了 我对你的爱意
我不怪你 我怪大雾四起",1609141358191
27,歌词···emmmmm···,1609141230346
28,日落星起，愿佳人依旧,1609141062665
29,"是雾太浓，还是爱太浅
都不是，是他从未爱过我",1609140794894
30,憧憬-爱，相拥-爱，若即若离-爱，哭泣-爱，别离-爱……原谅我，至今，我仍然不愿相信，我只是云端备份的数据，可，真的爱你。。。,1609140650105
31,"“I'm not happy beca se”
我不开心，因为没有你。",1609140403013
32,“乌鸦讲了情话，铁树开了花”,1609140190168
33, 以后的日子，祝你早安午安晚安,1609140160110
34,前奏的鲸鸣好绝,1609140103794
35,那一刻你心里有场海啸，可你静静站着，没有让任何人知道。,1609139173400
36,后来一起想想原来我也有过穿过风雨来见我的男孩子,1609138394320
37,有时候暗恋对另一个人来说也挺好,1609138315921
38,其实也不知道为什么，明明就和她一起很快乐，不知道她是怎样的人，就觉得她很好，刚开始不知道她的声音她的长相她的性别，可就是在一起了，明明就好好的，突然就找不到你了，真的憨死了,1609138303225
39,我时常想起，偶尔回忆，努力忘记。,1609138071484
40,我永远改不掉一不开心就不说话。,1609138024402
41,暗恋就是，暗地里盖一座城堡🏰,1609138006788
42,你在我后半生的城里长生不老。,1609137971157
43,一定会的，99啊！,1609137852210
44,是的哦～我超喜欢,1609137825741
45,你知道吗？开头是鲸鱼在死之前的叫声,1609137618245
46,只怪大雾四起，爱得太重太满。,1609137238601
47,我与他隔着长风深谷 近不得 退不舍。,1609137084310
48,说穷吧还有班上，说懒吧每天早出晚归，说傻吧事事都还明白，感觉已经拼尽全力但还是事与愿违，这扯淡的人生...,1609136367903
49,祝你幸福[星星][星星],1609136348488
50,"“大雾四起  遮住了我对你的爱意 我不怪你 我怪大雾四起 ”
一直觉得这句话讲的是自卑的暗恋者，大雾代表着我的自卑，我不怪你，我怪大雾四起",1609136326200
51,我喜欢安静 却生活在热闹里,1609136241860
52,祝你幸福  坚持下去就会有好结果,1609136238799
53,"“试着销声匿迹,原来真的无人问津。”",1609136179935
54,大雾四起  我终于可以放开你了,1609136084676
55,你要幸福哦,1609136081260
56,大雾四起 我爱你人尽皆知,1609135896450
57,我的男孩很爱我的男孩.,1609135016300
58,开头是🐳的声音么？,1609134958530
59,只有在大雾中才能表达的爱意 我又怎么敢真正的告诉大家我喜欢你,1609134775355
60,我也只是喜欢她而已。和性别没有关系呀。,1609134425345
61,只敢偷偷跟在你身后，你一回头，我便躲起，如此而已。,1609134330880
62,加油哦。你不是一个人。,1609134246672
63,一定可以的,1609133734151
64,大雾四起，你能找到我吗，我能看清你吗。,1609133661847
65,还好大雾四起   我还能把你偷偷藏在这雾里,1609133643267
66,一旦有一个人注意了你的情绪 你会发现你眼泪会止不住的哭,1609133610576
67,大雾四起，你能找到我吗。我能看清你吗？,1609133458926
68,我们必须全力以赴，同时又不抱持任何希望。不管做什么事，都要当它是全世界最重要的一件事，但同时又知道这件事根本无关紧要。,1609133309866
69,一起听歌[星星],1609133269699
70,我处理情绪的方式安静独处和反复斟酌,1609133244696
71,求求老天淋湿我的双眼冰冻我的心,1609133039677
72,我会努力向你奔去，你不用回过头等我，我会一直守护你，愿我和你永远长久,1609133008852
73,大雾四起遮住了我对你的爱意，我不怪你，我只怪大雾四起。,1609132939974
74,我想过很多原因，最后你跟我解释你是和兄弟打的赌，我原谅你了，你的兄弟告诉我，你喜欢我，我很吃惊，纠结了很久，最后跟你表白了，你也答应了,1609132868841
75,又能怎样吹散大雾,1609132845210
76,看评论好像是看每一个自己,1609132825529
77,拨开大雾，寻找曾经的那个她。,1609132758987
78,[口罩]别大雾了，临沂都第一名啦,1609132687989
79,我的目光总是会被你吸引过去，加到你QQ时候，我特别开心，我想着，就这样好好守护你吧，你总是找我聊天，没有及时回信息也会跟我说你干嘛去了，我觉得很幸福。可是，好景不长，你说你有了女朋友，那几天我魂不守舍的，眼泪总是莫名流下来,1609132659433
80,就算没有雾……,1609132649070
81,我爱你，开学看到你的班级就在我的班旁边的那个时候，我特别开心，后来我当上了英语课代表，就总是用各种借口从你的教室经过，在门口寻找你的身影。放学的时候，我总是会去看看你的单车在不在，看看你有没有走，和朋友一起回家等红绿灯的时候，总是会寻找你，在和朋友聊天的时候,1609132348883
82,这次 我站在雾里 连自己都看不清 原来执着太久的东西 本就没有意义,1609132284963
83,一定会幸福的 祝福你呀~,1609132211523
84,生日快乐呀,1609132064910
85,你别怪我，是我愿意,1609131998203
86,大雾四起，我在无人之处爱你,1609131982936
87,大雾四起的季节，我隐匿了对你的爱意,1609131973911
88,加油吖,1609131928695
89,要99吖，一定会幸福的,1609131910817
90,不怪你，怪大雾四起。,1609131871056
91,努力试着忘记，可是大雾四起，眼里全是你。,1609131839516
92,想问下广大网友，怎么让自己变得快乐,1609131808106
93,切记——不要隔着屏幕对别人产生好感,1609131483277
94,一定要幸福！,1609131292606
95,“还好大雾四起，藏匿难言爱意”,1609131267577
96,大雾四起 藏住了你的爱意 不怪你,1609131192613
97,"大雾四起 我在无人处爱你
大雾散去 我爱你人尽皆知
雾起雾散 但我会一直爱你",1609131004774
98,希望你在俄罗斯不要碰到疫情。祝安好。,1609130854581
99,他住在我心里的无人区,1609130664851
100,十八九岁的年纪，还会因为成绩不好而失落。,1609130581903
101,我打算不表白吧，毕竟我跟她年龄一言难尽，她也有更多不懂我，我打算等我真的确定了再表白,1609130433524
102,花非花，雾非雾，我把它藏在眼里鼻里心里的雾里，后来才知那爱意痛悟，你不曾体会，我也一知半解。,1609130371538
103,不太明白，两个女孩子成为闺蜜和在一起的区别大吗。,1609130215285
104,"大雾四起，我在无人处爱你
星河浪漫，时间终结处等你",1609130077511
105,这一次，换你心动,1609130007860
106,"没有什么圈子
分不清htp
但是我知道喜欢和性别没关系
我们一起去更远的地方",1609129673426
107,我加上一个大一的学妹，跟她聊了很多天，聊的越来越暧昧，我承认，她的可爱，我真的好喜欢，突然有一天晚上，我在吃晚饭，她发消息跟我说，学长，我有男朋友了。我瞬间不想吃了，那种感觉就像很重要的东西突然失去了，可仔细想想，我根本从来没有拥有过，又何谈失去呢，不过是我自己一人自作多情罢了,1609129527459
108,还是没有习惯，没有你在身边,1609129453000
109,起雾了，我站在雾里我连自己都看清。,1609129372344
110,好在大雾四起藏匿了我的爱，若不到万不得已我是不会说的，就让它继续藏在大雾里吧[哀伤][大哭],1609129365833
111,什么是爱   是我爱她还是她爱我为什么我付出全部最后还是输,1609129036587
112,大雾四起,1609128864344
113,渐渐的变成了这样的状态，没有喜欢的人，也不知道喜欢是什么感觉了，我也不知道这样到底是好还是不好呢，管他呢，爱自己，做自己，只要不碰爱情，我就百毒不侵。,1609128825437
114,这次我站在雾里 看不清自己,1609128705730
115,歪，到这个月末就是我喜欢你的第300天了，如果还得不到回应我可真的要走了，你可要想好了哦！,1609128613990
116,还好大雾四起，否则爱意难匿。,1609128517573
117,〈P〉失恋的人的伤心大多不是因为恋人的离开，而是因为自己对自己处境的同情和怜悯。 〈/P〉,1609128455060
118,要99啊,1609128417013
119,你太坏了。当你遇到一个你很爱很爱的人，你要知道，你的报应来了。。。,1609128198188
120,〈P〉我是一个任性的孩子，我想擦去一切不幸，我想在大地上，画满窗子，让所有习惯黑暗的眼睛都习惯光明。〈/P〉,1609128133110
121,我用什么才能留住你,1609128082347
122,再也不会喜欢你了。你觉得我这句话是什么意思。。。,1609128072413
123,今天早上的雾散了  不止早上  不止雾,1609127986572
124,大雾四起你看不见我，没关系，我怪大雾四起,1609127696008
125,小手一牵 陪你今年 明年 后年 年年 今天 明天 后天 天天.,1609127566199
126,最近早上都是大雾天 太应景了,1609127041200
127,我不喜欢在大雾中被爱，我看不清,1609127025165
128,这是专属博肖的，看到这么多人都拿去讲男女之间，挺难受,1609127004391
129,我不确定这首歌写的是关于什么的，如果发言不妥当告诉我我删,1609126926208
130,心都被揪了起来的感觉,1609126881941
131,“大雾四起，我在无人处爱你”这个歌词明明是讲博肖的.......而且出自小说《他住在我心中的无人区》不是讲男女情感的谢谢,1609126809054
132,这一次我站在雾里 连自己都看不清,1609126808604
133,那是鲸叫…哈哈哈我也听成狗叫过,1609126699759
134,开头的鲸鱼声音好吓人啊,1609126507547
135,乌烟瘴气我不想出去,1609126008941
136,我一定要考上他上的那所211，亲手拨开大雾，为了那个暗恋5年的他变得更优秀，我将永远所向无敌[星星],1609125756963
137,以光之名，与你相遇，加油，祝99，等你的喜糖哈哈哈,1609125735037
138,怎么听到背景里有狗嚎叫的声音？难道是我出现幻听了？,1609125673148
139,我整夜阑珊满脑子是你 这才知道什么叫做着迷,1609125519386
140,[哀伤],1609125315967
141,我不怪你，怪大雾四起,1609125105113
142,要一直在一起啊,1609124981993
143,世界有多两个单身狗[大哭],1609124960904
144,这是原唱吗？😭,1609124948790
145,我在无人处爱你，云雾散尽，我爱你人尽皆知 ,1609124614912
146,总会有人照顾你 感受到那些被温柔覆盖 欣赏你这不为人知的小角落  抱抱🤗,1609124463255
147,听睡着了,1609124235858
148,原谅我看到这里破涕而笑,1609124209397
149,我也是，我们在一起一年多啦，你们加油！[多多大笑],1609124151606
150,我不喜欢在雾里被爱因为什么都看不到,1609124091965
151,你看这大雾，遮住了我的爱,1609123691489
152,大雾四起 藏匿难言爱意,1609123580043
153,“大雾四起，我在无人处爱你，云雾散尽，我爱你人尽皆知”,1609123568816
154,大雾四起  我在无人处爱你,1609123562933
155,不说就是最后的答案吧,1609123388167
156,今天苏州起很大的雾,1609123338480
157,大雾四起人尽皆知,1609123332001
158,祝你们幸福,1609123223959
159,我家媳妇以前什么活都不干，自从跟了我，每天做饭、洗衣服什么活都干，我说这个不是想炫耀我调教的有多好，而是你要想听，我还可以继续编。[奸笑][奸笑],1609123090454
160,确认了开场是鲸类的声音，天呐,1609122795619
161,现在这个世界对txl还是有很多异样的眼光，生而为人也不可能真的不在意世俗的眼光，但请你相信还是有人在默默支持你们的，但如果真的累了，就停下歇一歇，我们永远支持你，加油哦,1609122777694
162,我的温暖你的冷漠让爱起雾了,1609122337532
163,对于这点永远不要坚信 因为你永远不知道下一秒会发生什么 你要相信一个过来人的经验 尤其想我们这样的拉拉,1609122114897
164,送给我暗恋的男孩👦🏻,1609122101164
165,我在山东日照，此时正大雾四起,1609122055147
166,我以为你会和我一样念念不忘 后来的后来我发现原来只是我一个人意难平啊 生活果真不会因为失去谁就变得好遗憾 我还是要生活的,1609121929111
167,我也爱你,1609121795512
168,"大雾四起 偷偷藏匿

我在无人处爱你

大雾散去 人尽皆知我爱你

穿过风雨 小心翼翼

害怕惊扰你",1609121494381
169,@绮寽 我爱你,1609121020346
170,大雾四起四处寻你，大物散去却不见你,1609120670831
171,"快乐其实很简单，但你为什么不快乐?因为你连简单的事都做不好。
原来快乐也有四要素：可以改变的去改变，不可改变的去改善，不能改善的去承担，不能承担的就放下",1609120181639
172,若相见者，千山可跋，万水可涉，大雾皆散！,1609120161899
173,大雾四起  藏匿了我对你所以的爱  大雾散去  怪我自己没有胆量承认爱你,1609120159363
174,我在成都的大雾里思念你,1609120156936
175,好听,1609119984646
176,暗恋真是件痛苦的事情，想不断接近她又不想让他知道。最后她······还是没跟我在一起，她喜欢喝杨枝甘露，会因一点小事生气，跑来跟你倾诉，她是个温柔可爱美丽的女孩子。我喜欢你，不过这次不是你啦。[可爱]希望你幸福。,1609119917335
177,我有预感 会见面的,1609119834696
178,"大雾四起 我和你一起
大雾散尽 我们爱情不留痕迹
大雾预警 期待你的降临",1609119782231
179,人尽皆知 我爱你 🦁,1609119677641
180,怎么讲 讲什么 跟谁讲,1609119375702
181,一直在等你，但明知道你不会回来，我还在偷偷的告诉自己，你一定会回来的，哈哈哈哈。,1609119082191
182,终究还是意难平,1609118930553
183,在等花败也在等花开。,1609118916777
184,我站在雾里 连自己也看不清,1609118910725
185,告诉你们一个小秘密在这条评论上用手指从中间往两边划会有惊喜哦,1609118830117
186,我好想他,1609118747258
187,大雾四起我还爱你,1609118738600
188,我们要一直一直在一起@信哥哥520,1609118666357
189,我可以给你一百朵关于蔷薇的回忆，却没有勇气献给你一束玫瑰。,1609118290772
190,"年年有雾 雾吹年年 叁叁即散散 散散亦人生.
年年有风 风吹年年 慢慢即漫漫 漫漫亦灿灿",1609118213622
191,原来替对方考虑的太多从来不是好事，吗？,1609118152593
192,希望有人能好好地爱我，爱你,1609118075713
193,"我翻山越岭，我跋山涉水，我把要对你的话排练了几百次。
可偏偏我太了解你，因为你等的人不是我，所以我不想告诉你。",1609118012937
194,大雾四起我在无人处爱你,1609117675663
195,我与旧事归于尽 来年依旧迎花开,1609117641733
196,想哭,1609117611744
197,你会不会在某个深夜里突然醒来，后悔没有好好爱我。,1609117026915
198,爱的挺卑微的,1609116856690
199,猪！你幸福哦！,1609116109662
200,我听到了鲸的声音,1609116099060
201,人总不能吃肉时夸肉香 洗碗时骂碗脏吧.,1609115282900
202,高潮有一个调调感觉和殉情的抹香鲸很像诶，，但是都很好听哦😊,1609115002564
203,还好大雾四起 藏匿难言爱意,1609112097012
204,还好大雾四起 我还来得及藏匿,1609111994803
205,"大雾四起，我在无人处爱你❤
大雾散去，我爱你——人尽皆知。",1609111529309
206,小姐姐不值得的事别做 不要辜负自己 要对自己好一点 只有双向奔赴才有意义 你要开心啊 虽然可能他只能做错了对不起你的这一件事 但是他已经对你不定心了 没必要重蹈覆辙了 你懂我意思嘛 一个真正爱你的男孩子舍不得把你放在二选一的局面里 他会舍不得你当第二选择 照顾好自己 要好好的,1609111421467
207,我生日就是8月6！,1609111320160
208,最后一次了，错过就错过吧,1609111036656
209,这次我站在雾里连自己也看不清,1609110231548
210,没有沈倦也要成为林语惊,1609109892899
211,这一次，连我自己都在雾里，才发现，执着久了的东西本来就没有意义。,1609108870078
212,最近很喜欢听的歌啊，今天期末考试了，保佑保佑,1609107624510
213,“我知道 这个年纪遇到的人不会有结果  但你有点特别 我有点舍不得”,1609106855336
214,别人谈恋爱关你什么事，百合又没和你搞,1609105516316
215,你什么时候能从我心里出去,1609102435528
216,雾爱 无碍 吾爱 无爱 勿爱,1609101474699
217,我不怪你啊，我怪这四起的大雾,1609100982534
218,再见也不说，没礼貌的小鬼,1609100136228
219,"哥哥 大雾散去 雨滴蒸发
我一直在人群中爱你",1609099118325
220,“那天晚上雾散了 不止晚上 不止雾”,1609098532122
221,大雾永远不会散去,1609096353102
222,hiphop girl,1609095074784
223,我不会以爱之名束缚你剥削你 你可以做任何你想做的事 我只希望你可以在做任何事之前都可以想起我 能为我拒绝该拒绝的人和事.,1609094593317
224,一定会合法的对吧？,1609093807687
225,我...我不会让她放手的，如果她放手了，我会把她追回来的，只要我还有她的联系方式，就一定会,1609093787404
226,我....很怕我们走不到最后...会合法的对吧？,1609093678539
227,对不起,1609093298301
228,可是我怕....我怕她会放手....我怕她不要我了..我情商低还傻...（这是她说的，我觉得我情商蛮高的，一点都不傻）她心情不好或生气，我都不知道该怎么安慰她，该怎么哄她,1609093238131
229,她占有欲很强，我占有欲也很强，我不知道我和她会不会有结果，但我想试试,1609093226990
230,我是女孩子，她也是女孩子，我们于9月12日相遇。我很喜欢她，她19我14，我和她能走到最后么,1609093217707
231,祝你幸福哦,1609093105014
232,在这么多疲惫抬不起头的日子，我都觉得你是个盼头,1609092210472
233,我其实已经不喜欢你了 就是脑子想到你的时候眼泪止不住的流,1609092114571
234,要99哦❤️,1609091375694
235,@黎明K,1609090581250
236,我也不知道我在这无人的夜里想你多少回，尽管你不知,1609090080926
237,“你比谁都清楚，我的偏向无条件指向你。”,1609089621992
238,我是泥潭中的一只蝴蝶，简而言之“我是泥蝶”,1609089574634
239,我始终不是那个值得你狂奔的人,1609089574277
240,我比任何人都喜欢你 可我不如任何人,1609089065983
241,gyj,1609088931798
242,没什么，就是很想你,1609088897877
243,拨开云雾，我的爱意简定而又炽烈，可惜我要上交啦，等我守护完万家灯火，我就去做你一个人的盖世英雄。,1609088879314
244,大雾四起 把我的爱都遮住,1609087964792
245,我不敢说 我怕她会疏远我,1609087900731
246,我跨过性别去爱你,1609087209240
247,鲸落,1609087095555
248,那天早上雾散了 不止早上 不止雾,1609087067026
249,怕你知道,1609086775754
250,“我们慢慢来吧 毕竟不想和你潦草收场。”前几个月看到这句话真的很触动 现在只希望和你一直保持联系..,1609086712346
251,只是等的话，唔，难说,1609086529278
252,在人群中看着你，为你开心而开心，唯有心里遗憾自知,1609086423218
253,还好有大雾可以让我隐藏着偷偷的爱你,1609086330910
254,我的爱老是打水漂 不想在喜欢他了,1609086141615
255,好棒的作曲！！,1609085980104
256,我还是好爱你,1609085848742
257,祝你幸福,1609085742854
258,"见山是山
见海是海
见你便全是世界

我想和你在一起！好像！超级想！！！！",1609085725169
259,有一次数学晚自习，我看了你大半节课，你转笔，你的手很好看，我总是会被你吸引，感觉自己就挺没出息的👀,1609085691393
260,"我不是不主动，我只是害怕失去你
-waj",1609085687500
261,这路遥马急的人间真的有人把爱藏了好几年,1609085686350
262,所以 没有然后了 那就再见吧,1609085644060
263,張怡媛對謝亞榮的愛大霧都遮不住,1609085624499
264,喜欢上他后，我都不敢谤佛，我怕佛对他不好,1609085621943
265,是今天的大雾吗？,1609085499910
266,"“你怎么能爱上我呢”
“我试图克制过了”",1609085498605
267,大雾四起，我在无人处爱你 大雾散去，我爱你人尽皆知 但大雾一直未散 我爱你也无人知晓 不怪大雾未散，只怪我来的不是时候,1609085483608
268,换座位后你坐在一个角落，从那以后我的余光总停留在那个角落,1609085450750
269,从来处来到去处去我还是没有缘分在见到你了但爱你人尽皆知,1609085437020
270,如果可以我真的好想告诉你，我好喜欢，喜欢到在即使好多个夜晚在心里放弃过你无数次，第二天看你一眼又沦陷。,1609085403009
271,何云涛,1609085381704
272,一个人偷偷盖了一座城堡。,1609085156064
273,外面雾好大，我们回不去了,1609085030857
274,大雾四起，还是遮住了我对你的爱意。我不怪你，也不怪大雾，怪我自己那时的错觉。,1609084951204
275,十八岁最难过最遗憾的莫过于遇上个特别的你，却明白不可能在一起，或迟或早我不得不放弃。真正喜欢的人是没法做朋友的，哪怕在多看几眼都还是想拥有，都还是会心动。我从未放弃过喜欢你，我希望你的前程一帆风顺，你遇到的每个人都是好人，你不会再受伤，再难过，再失望，我希望你比任何人过得都好。,1609084950305
276,我不怕你不爱我，我只是怕你可以随时去爱别人，你没有光，但我需要光，我活在了自己的幻想中。分手是我提的，伤心的是我，再找新欢的是你，和你相处一年，我以为我了解你，实则没有，但却在分手两个月后用了一星期看清了你，大雾四起，整整一年，大雾散去，我看清了你,1609084942773
277,我一直在雾里，却不想走出来。,1609084862243
278,@你是心间白月光 大雾四起,1609084747597
279,我暗恋了你两年，终于有一天鼓足了游气，可是却发现你和别人在一起了，你笑着对我说找到男朋友的时候，我笑着把花给扔了😁,1609084663457
280,"如果说我不曾见过太阳
撕开云雾
你便是光",1609084334529
281,“大雾四起遮住了我对你的爱意，我不怪你，我怪大雾四起”,1609084261417
282,会幸福的哦，一定会,1609084191595
283,大雾四起时，你在有光的那边,1609084054135
284,只要我的爱不死，我爱的人就一直在,1609083850716
285,我想认真生活的时候，突然冒出来一个男孩陪我聊天，打语音，屁大点事都要跟我分享，我觉得我有点喜欢他了，就把他删了。,1609083849794
286,有时候说 对不起 也不一定是做错了什么 ,1609083829304
287,我和你走过了一生，很平凡的一生。哦，我醒来了，嘿，这一生我就试试换个人咯，嘿，你有酒嘛，醒不来的那种呢，是活着，不是死呢，呀，听，那是海的声音还是鲸的哭泣啊，能听到我说话吗，喂,1609083757412
288,正是因为有了大雾，我才敢对你ljy说出那三个字...,1609083742087
289,我不怪你 我怪大雾四起,1609083456665
290,我等你,1609083409334
291,在故事开始的时候我就已经做好退路了，希望这条退路永远用不到。,1609083352812
292,你站在我的位置 你就会知道我的感受 你就会知道我有多委屈 你就会知道我听着别人的建议还是义无反顾的选择你,1609083272580
293,"大雾四起 偷偷藏匿，我在无人处爱你，
大雾散去 人尽皆知我爱你。
大雾四起 看不见你，却能找到你眼睛。
大雾散去 我在人群中爱你。",1609083162210
294,大家都是成年人了，有个人召之即来挥之即去有多快乐我不知道么？那些进退话术和套路我不懂我不会吗？可是真的遇到那个人的时候情愿就不懂得掩饰对他的喜欢，我明知道这样可能会被拿捏，但人生中又能有几次机会遇上这种你想要冲上去白给的人呢？ ​​​,1609083052300
295,愿化作一缕清风 伴你一路又一路,1609083029979
296,以前喜欢谁 他不理我 我就使劲烦他 好像有用不完的热情 现在不行了 你认为我不重要 那就算了吧  难熬也要熬 意难平也得平啊,1609082891176
297,我在无人处爱你,1609082868324
298,实在太难熬了,1609082792862
299,谁都希望是双向奔赴,1609082755202
300,冷暴力真的很难受,1609082692163
301,这个是用钢琴弹的吗？我想为了这首歌学钢琴然后在毕业典礼上为我喜欢的人弹🙏🏻,1609082674515
302,是啊。,1609082663539
303,平平安安即可，其它的并不重要。,1609082618597
304,又没,1609082591940
305,我会在大雾中爱你,1609082364833
306,我们都会和自己心爱的女孩子一直在一起的,1609082293550
307,"春天要来了  冬天的事就放下吧

怎么可能放的下……",1609081985763
308,住进过心里的人，没办法不想她阿,1609081979523
309,我在很平常的一天放弃了一个很重要的人，虽然有点舍不得 但我的满心欢喜也该告一段落了,1609081950656
310,以前有个人告诉我爱不分性别。希望你们好好的。幸福很久,1609081916341
311,他还是离开我了,1609081775365
312,当时我麻木了，我很冷静，没什么过多的纠缠，我们分开了，整整五百天，我到现在也没想明白，为什么他就离开我了，明明当初对我事事有回应，满满都是在乎，我也没逼他什么，我也没给他压力阿，明明当时我都说那么清楚了，我们一起赌一把，反正现在还年轻，我也不是那种怕的人，他还是说了分开,1609081768226
313,“那天早上雾散了 不只早上 不只雾”,1609081689959
314,讨厌现在的自己[心碎],1609081643524
315,花光所有力气，在大雾中爱你,1609081530377
316,但是又有谁懂我呢,1609081476002
317,然后阿，他就放弃了，他说你也有你的压力，我也有我的努力，答应你的事我还是没有做到，对不起，我们分开吧！,1609081471358
318,我也不想天天听这种歌,1609081467108
319,我好想你。真的好想你。你回来吧这次我只成为微信里的一位好友不动情,1609081463489
320,我们说到以后，我询问他想过到我这里来嘛，他说没想过，他也问我愿意去他那里吗，我说说实话是不愿意的，我不知道我要多大的勇气能放弃我的一切去一个陌生的城市，然后我说但是没关系，我们现在年轻，别想那么多，问题来的时候再解决，我们赌一次，你愿意吗，,1609081454946
321,会好起来的,1609081450179
322,真的好难受啊,1609081445426
323,他越来越忙，我每天上班，经验不足整天忙得头昏，我感到不一样了，我开始焦躁，我拉着他不依不饶的问他，他宽慰我，安慰我，抚平我的焦躁说没什么，放心，我一直都在，但是这次不一样，我的焦躁并没有减少，后来10月12号凌晨我们聊了很久，我当时已经感觉到，他要离开我了，,1609081433416
324,杜翱羽 你在哪里呢？,1609081417502
325,这次异地和以前没什么区别，只是更想彼此了，不想再异地，他感受到了，所以每天都在努力上班，后来又到了一个国庆，我们这次没有见面，因为他走不开，我也不走那么远，就说找中间地方一起去玩，没商量好，这个国庆那儿也没去，结果国庆之后我就感觉我们之间不一样了，我说不出来哪里不一样，,1609081410482
326,希望吧,1609081407585
327,“也没有什么热衷的东西.感觉追不上就悄悄走开了。”,1609081396942
328,我没有DR钻戒 只能把头发编给你 只给你 或许这和DR钻戒也是一个概念吧 如果我们有结果 以后就拿一枚DR钻戒向我求婚吧。,1609081367513
329,把头发编起来给你 是希望你平安开心 不为别的 就偶尔迷信一下,1609081195692
330,摸,1609081177634
331,“大雾终将散去，爱意终会明朗”,1609081045222
332,ysh？！,1609080849913
333,我在你看不到的地方偷偷爱你,1609080808446
334,暗恋真的小心翼翼，连吃醋的资格都没有,1609080731393
335,"“大雾四起,我在无人处爱你，大雾散去,我在人群中爱你”我在你看不到的地方偷偷关注着你,我希望你知道,又害怕你知道",1609080728473
